Module : iexplore.exe                       | 0x00140000 -- 0x001E6000 enumerated!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(147)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(148)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(149)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(150)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(151)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(152)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(153)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(154)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(155)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(156)!
Breakpoint On | TID : 00000F10 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Breakpoint On | TID : 00000C64 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Breakpoint On | TID : 00000D14 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(157)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(158)!
Breakpoint On | TID : 000009C4 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(159)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(160)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(161)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(162)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(163)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(164)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(165)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(166)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(167)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(168)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(169)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(170)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(171)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(172)!
Breakpoint On | TID : 00000E38 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Breakpoint On | TID : 00000BE0 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Breakpoint On | TID : 00000994 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000994	-- Count(173)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000994	-- Count(174)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(175)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(176)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(177)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(178)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(179)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(180)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(181)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(182)!
Breakpoint On | TID : 00000F74 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(183)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(184)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(185)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(186)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(187)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(188)!
Breakpoint On | TID : 00000798 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(189)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(190)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(191)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(192)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000D14	-- Count(193)!
Breakpoint On | TID : 00000C04 - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
